"File identification","State Postal Abbreviation","Summary Level","Geographic Component","Logical Record Number","US","Census Region","Census Division","State (Census Code)","State (FIPS Code)","County of current residence","County Subdivision (FIPS)","Place (FIPS Code)","Census Tract","Block Group","Consolidated City","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area","Combined Statistical Area","Metropolitan Statistical Area-Metropolitan Division","Metropolitan Area Central City","Metropolitan/MicropolitanIndicator Flag","New England City and Town Area","New England City and TownCombined Statistical Area","New England City and Town AreaDivision","Urban Area","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","5-digit ZIP Code Tabulation Area","Subminor Civil Division (FIPS)","State-School District (Elementary)","State-School District (Secondary)","State-School District (Unified)","Urban/Rural","Principal City Indicator","Public Use Microdata Area – 5%File","Geographic Identifier","Area Name","Tribal Tract","Tribal Block Group","Qualifying Name","FIPS","Area (Land)","Area (Water)","Place (State FIPS + Place FIPS)","Urban Area Central Place","Voting District","ZIP Code Tabulation Area (3-digit)","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 1% File","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","% Total Population: Under 5 Years","% Total Population: 5 to 9 Years","% Total Population: 10 to 14 Years","% Total Population: 15 to 17 Years","% Total Population: 18 to 24 Years","% Total Population: 25 to 34 Years","% Total Population: 35 to 44 Years","% Total Population: 45 to 54 Years","% Total Population: 55 to 64 Years","% Total Population: 65 to 74 Years","% Total Population: 75 to 84 Years","% Total Population: 85 Years and Over"
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_003,PCT_SE_A01001_004,PCT_SE_A01001_005,PCT_SE_A01001_006,PCT_SE_A01001_007,PCT_SE_A01001_008,PCT_SE_A01001_009,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
"ACSSF","ca","140","00","0005709",,,,,"06","037",,,"480102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480102","Census Tract 4801.02",,,"Census Tract 4801.02, Los Angeles County, California","06037480102","1228398","0",,,,,,,,4388,226,198,272,201,266,552,562,629,708,458,241,75,5.15,4.51,6.2,4.58,6.06,12.58,12.81,14.33,16.13,10.44,5.49,1.71
"ACSSF","ca","140","00","0005710",,,,,"06","037",,,"480201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480201","Census Tract 4802.01",,,"Census Tract 4802.01, Los Angeles County, California","06037480201","1531132","1750",,,,,,,,3479,184,80,242,114,331,205,469,517,679,391,138,129,5.29,2.3,6.96,3.28,9.51,5.89,13.48,14.86,19.52,11.24,3.97,3.71
"ACSSF","ca","140","00","0005711",,,,,"06","037",,,"480202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480202","Census Tract 4802.02",,,"Census Tract 4802.02, Los Angeles County, California","06037480202","1515054","0",,,,,,,,2595,124,118,148,125,167,207,284,392,362,323,271,74,4.78,4.55,5.7,4.82,6.44,7.98,10.94,15.11,13.95,12.45,10.44,2.85
"ACSSF","ca","140","00","0005712",,,,,"06","037",,,"480302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480302","Census Tract 4803.02",,,"Census Tract 4803.02, Los Angeles County, California","06037480302","1050464","0",,,,,,,,4262,339,153,211,113,162,866,624,540,414,386,278,176,7.95,3.59,4.95,2.65,3.8,20.32,14.64,12.67,9.71,9.06,6.52,4.13
"ACSSF","ca","140","00","0005713",,,,,"06","037",,,"480303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480303","Census Tract 4803.03",,,"Census Tract 4803.03, Los Angeles County, California","06037480303","451631","0",,,,,,,,4416,292,256,135,190,346,872,803,527,484,352,128,31,6.61,5.8,3.06,4.3,7.84,19.75,18.18,11.93,10.96,7.97,2.9,0.7
"ACSSF","ca","140","00","0005714",,,,,"06","037",,,"480304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480304","Census Tract 4803.04",,,"Census Tract 4803.04, Los Angeles County, California","06037480304","436639","0",,,,,,,,4491,132,149,229,198,367,957,556,572,621,413,175,122,2.94,3.32,5.1,4.41,8.17,21.31,12.38,12.74,13.83,9.2,3.9,2.72
"ACSSF","ca","140","00","0005715",,,,,"06","037",,,"480400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480400","Census Tract 4804",,,"Census Tract 4804, Los Angeles County, California","06037480400","1285545","0",,,,,,,,5650,266,199,163,152,304,1123,760,609,818,592,439,225,4.71,3.52,2.88,2.69,5.38,19.88,13.45,10.78,14.48,10.48,7.77,3.98
"ACSSF","ca","140","00","0005716",,,,,"06","037",,,"480500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480500","Census Tract 4805",,,"Census Tract 4805, Los Angeles County, California","06037480500","2111457","0",,,,,,,,5263,142,259,377,221,356,631,525,983,899,526,251,93,2.7,4.92,7.16,4.2,6.76,11.99,9.98,18.68,17.08,9.99,4.77,1.77
"ACSSF","ca","140","00","0005717",,,,,"06","037",,,"480601",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480601","Census Tract 4806.01",,,"Census Tract 4806.01, Los Angeles County, California","06037480601","706578","0",,,,,,,,4070,228,290,483,147,182,890,681,704,189,228,18,30,5.6,7.13,11.87,3.61,4.47,21.87,16.73,17.3,4.64,5.6,0.44,0.74
"ACSSF","ca","140","00","0005718",,,,,"06","037",,,"480602",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480602","Census Tract 4806.02",,,"Census Tract 4806.02, Los Angeles County, California","06037480602","1631417","24599",,,,,,,,4190,309,216,155,174,137,482,989,574,686,245,71,152,7.37,5.16,3.7,4.15,3.27,11.5,23.6,13.7,16.37,5.85,1.69,3.63
"ACSSF","ca","140","00","0005719",,,,,"06","037",,,"480702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480702","Census Tract 4807.02",,,"Census Tract 4807.02, Los Angeles County, California","06037480702","2175988","0",,,,,,,,4659,346,306,402,135,192,258,697,876,553,488,291,115,7.43,6.57,8.63,2.9,4.12,5.54,14.96,18.8,11.87,10.47,6.25,2.47
"ACSSF","ca","140","00","0005720",,,,,"06","037",,,"480703",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480703","Census Tract 4807.03",,,"Census Tract 4807.03, Los Angeles County, California","06037480703","1134055","1122",,,,,,,,4265,222,429,218,112,292,652,818,619,456,293,128,26,5.21,10.06,5.11,2.63,6.85,15.29,19.18,14.51,10.69,6.87,3,0.61
"ACSSF","ca","140","00","0005721",,,,,"06","037",,,"480704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480704","Census Tract 4807.04",,,"Census Tract 4807.04, Los Angeles County, California","06037480704","1069409","0",,,,,,,,4390,185,341,373,151,229,520,950,745,406,272,198,20,4.21,7.77,8.5,3.44,5.22,11.85,21.64,16.97,9.25,6.2,4.51,0.46
"ACSSF","ca","140","00","0005722",,,,,"06","037",,,"480802",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480802","Census Tract 4808.02",,,"Census Tract 4808.02, Los Angeles County, California","06037480802","1720775","0",,,,,,,,3247,121,104,121,175,121,329,486,516,551,428,155,140,3.73,3.2,3.73,5.39,3.73,10.13,14.97,15.89,16.97,13.18,4.77,4.31
"ACSSF","ca","140","00","0005723",,,,,"06","037",,,"480803",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480803","Census Tract 4808.03",,,"Census Tract 4808.03, Los Angeles County, California","06037480803","1091613","0",,,,,,,,3276,171,124,142,151,296,399,364,412,624,384,153,56,5.22,3.79,4.33,4.61,9.04,12.18,11.11,12.58,19.05,11.72,4.67,1.71
"ACSSF","ca","140","00","0005724",,,,,"06","037",,,"480804",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480804","Census Tract 4808.04",,,"Census Tract 4808.04, Los Angeles County, California","06037480804","838408","0",,,,,,,,5151,376,330,139,129,263,965,708,771,706,468,200,96,7.3,6.41,2.7,2.5,5.11,18.73,13.74,14.97,13.71,9.09,3.88,1.86
"ACSSF","ca","140","00","0005725",,,,,"06","037",,,"480901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480901","Census Tract 4809.01",,,"Census Tract 4809.01, Los Angeles County, California","06037480901","951406","0",,,,,,,,4690,203,162,174,101,551,908,639,643,520,444,242,103,4.33,3.45,3.71,2.15,11.75,19.36,13.62,13.71,11.09,9.47,5.16,2.2
"ACSSF","ca","140","00","0005726",,,,,"06","037",,,"480902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480902","Census Tract 4809.02",,,"Census Tract 4809.02, Los Angeles County, California","06037480902","513493","0",,,,,,,,4527,204,293,452,272,366,621,812,576,479,198,212,42,4.51,6.47,9.98,6.01,8.08,13.72,17.94,12.72,10.58,4.37,4.68,0.93
"ACSSF","ca","140","00","0005727",,,,,"06","037",,,"480903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037480903","Census Tract 4809.03",,,"Census Tract 4809.03, Los Angeles County, California","06037480903","803827","0",,,,,,,,2966,258,166,68,137,257,424,263,396,470,297,123,107,8.7,5.6,2.29,4.62,8.66,14.3,8.87,13.35,15.85,10.01,4.15,3.61
"ACSSF","ca","140","00","0005728",,,,,"06","037",,,"481001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481001","Census Tract 4810.01",,,"Census Tract 4810.01, Los Angeles County, California","06037481001","1049648","0",,,,,,,,4695,144,131,256,189,237,470,856,527,468,831,231,355,3.07,2.79,5.45,4.03,5.05,10.01,18.23,11.22,9.97,17.7,4.92,7.56
"ACSSF","ca","140","00","0005729",,,,,"06","037",,,"481002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481002","Census Tract 4810.02",,,"Census Tract 4810.02, Los Angeles County, California","06037481002","934855","0",,,,,,,,5318,338,261,249,16,338,1092,794,677,681,451,264,157,6.36,4.91,4.68,0.3,6.36,20.53,14.93,12.73,12.81,8.48,4.96,2.95
"ACSSF","ca","140","00","0005730",,,,,"06","037",,,"481101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481101","Census Tract 4811.01",,,"Census Tract 4811.01, Los Angeles County, California","06037481101","889216","0",,,,,,,,4110,204,129,257,163,357,663,461,575,501,323,217,260,4.96,3.14,6.25,3.97,8.69,16.13,11.22,13.99,12.19,7.86,5.28,6.33
"ACSSF","ca","140","00","0005731",,,,,"06","037",,,"481102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481102","Census Tract 4811.02",,,"Census Tract 4811.02, Los Angeles County, California","06037481102","615716","0",,,,,,,,3863,276,204,257,177,394,507,687,431,461,222,134,113,7.14,5.28,6.65,4.58,10.2,13.12,17.78,11.16,11.93,5.75,3.47,2.93
"ACSSF","ca","140","00","0005732",,,,,"06","037",,,"481103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481103","Census Tract 4811.03",,,"Census Tract 4811.03, Los Angeles County, California","06037481103","1413607","0",,,,,,,,5219,286,225,260,168,341,886,782,625,730,455,155,306,5.48,4.31,4.98,3.22,6.53,16.98,14.98,11.98,13.99,8.72,2.97,5.86
"ACSSF","ca","140","00","0005733",,,,,"06","037",,,"481201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481201","Census Tract 4812.01",,,"Census Tract 4812.01, Los Angeles County, California","06037481201","1032505","0",,,,,,,,4238,135,323,359,161,350,794,526,570,422,475,104,19,3.19,7.62,8.47,3.8,8.26,18.74,12.41,13.45,9.96,11.21,2.45,0.45
"ACSSF","ca","140","00","0005734",,,,,"06","037",,,"481203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481203","Census Tract 4812.03",,,"Census Tract 4812.03, Los Angeles County, California","06037481203","1559436","0",,,,,,,,6216,516,292,184,101,438,878,1035,870,790,690,295,127,8.3,4.7,2.96,1.62,7.05,14.12,16.65,14,12.71,11.1,4.75,2.04
"ACSSF","ca","140","00","0005735",,,,,"06","037",,,"481300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481300","Census Tract 4813",,,"Census Tract 4813, Los Angeles County, California","06037481300","896760","0",,,,,,,,3353,154,146,200,151,232,455,315,543,507,328,146,176,4.59,4.35,5.96,4.5,6.92,13.57,9.39,16.19,15.12,9.78,4.35,5.25
"ACSSF","ca","140","00","0005736",,,,,"06","037",,,"481401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481401","Census Tract 4814.01",,,"Census Tract 4814.01, Los Angeles County, California","06037481401","1206575","0",,,,,,,,5314,219,151,176,125,433,992,736,798,898,491,184,111,4.12,2.84,3.31,2.35,8.15,18.67,13.85,15.02,16.9,9.24,3.46,2.09
"ACSSF","ca","140","00","0005737",,,,,"06","037",,,"481403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481403","Census Tract 4814.03",,,"Census Tract 4814.03, Los Angeles County, California","06037481403","810392","0",,,,,,,,3337,231,90,127,100,220,453,467,535,664,269,153,28,6.92,2.7,3.81,3,6.59,13.58,13.99,16.03,19.9,8.06,4.58,0.84
"ACSSF","ca","140","00","0005738",,,,,"06","037",,,"481404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481404","Census Tract 4814.04",,,"Census Tract 4814.04, Los Angeles County, California","06037481404","1024278","0",,,,,,,,3874,161,105,244,113,117,579,417,700,608,405,313,112,4.16,2.71,6.3,2.92,3.02,14.95,10.76,18.07,15.69,10.45,8.08,2.89
"ACSSF","ca","140","00","0005739",,,,,"06","037",,,"481500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481500","Census Tract 4815",,,"Census Tract 4815, Los Angeles County, California","06037481500","2188073","0",,,,,,,,4108,108,39,115,197,199,578,598,600,481,614,397,182,2.63,0.95,2.8,4.8,4.84,14.07,14.56,14.61,11.71,14.95,9.66,4.43
"ACSSF","ca","140","00","0005740",,,,,"06","037",,,"481603",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481603","Census Tract 4816.03",,,"Census Tract 4816.03, Los Angeles County, California","06037481603","655706","0",,,,,,,,3205,275,165,199,24,171,707,331,324,522,356,110,21,8.58,5.15,6.21,0.75,5.34,22.06,10.33,10.11,16.29,11.11,3.43,0.66
"ACSSF","ca","140","00","0005741",,,,,"06","037",,,"481604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481604","Census Tract 4816.04",,,"Census Tract 4816.04, Los Angeles County, California","06037481604","623010","0",,,,,,,,3983,286,175,154,162,223,628,663,600,532,305,119,136,7.18,4.39,3.87,4.07,5.6,15.77,16.65,15.06,13.36,7.66,2.99,3.41
"ACSSF","ca","140","00","0005742",,,,,"06","037",,,"481605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481605","Census Tract 4816.05",,,"Census Tract 4816.05, Los Angeles County, California","06037481605","764937","0",,,,,,,,2749,110,106,90,123,201,478,376,379,357,319,179,31,4,3.86,3.27,4.47,7.31,17.39,13.68,13.79,12.99,11.6,6.51,1.13
"ACSSF","ca","140","00","0005743",,,,,"06","037",,,"481606",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481606","Census Tract 4816.06",,,"Census Tract 4816.06, Los Angeles County, California","06037481606","862066","0",,,,,,,,4959,181,271,278,105,435,611,452,1012,718,427,358,111,3.65,5.46,5.61,2.12,8.77,12.32,9.11,20.41,14.48,8.61,7.22,2.24
"ACSSF","ca","140","00","0005744",,,,,"06","037",,,"481711",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481711","Census Tract 4817.11",,,"Census Tract 4817.11, Los Angeles County, California","06037481711","447340","0",,,,,,,,4465,117,194,136,126,263,468,846,569,652,479,335,280,2.62,4.34,3.05,2.82,5.89,10.48,18.95,12.74,14.6,10.73,7.5,6.27
"ACSSF","ca","140","00","0005745",,,,,"06","037",,,"481712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481712","Census Tract 4817.12",,,"Census Tract 4817.12, Los Angeles County, California","06037481712","736600","0",,,,,,,,5222,321,171,159,348,455,623,654,930,672,301,308,280,6.15,3.27,3.04,6.66,8.71,11.93,12.52,17.81,12.87,5.76,5.9,5.36
"ACSSF","ca","140","00","0005746",,,,,"06","037",,,"481713",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481713","Census Tract 4817.13",,,"Census Tract 4817.13, Los Angeles County, California","06037481713","466197","0",,,,,,,,2802,100,172,63,26,272,366,492,345,506,229,192,39,3.57,6.14,2.25,0.93,9.71,13.06,17.56,12.31,18.06,8.17,6.85,1.39
"ACSSF","ca","140","00","0005747",,,,,"06","037",,,"481714",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481714","Census Tract 4817.14",,,"Census Tract 4817.14, Los Angeles County, California","06037481714","455081","0",,,,,,,,2749,110,45,166,100,234,360,259,394,343,235,219,284,4,1.64,6.04,3.64,8.51,13.1,9.42,14.33,12.48,8.55,7.97,10.33
"ACSSF","ca","140","00","0005748",,,,,"06","037",,,"481800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481800","Census Tract 4818",,,"Census Tract 4818, Los Angeles County, California","06037481800","822038","0",,,,,,,,2475,83,99,145,50,183,198,258,421,414,286,171,167,3.35,4,5.86,2.02,7.39,8,10.42,17.01,16.73,11.56,6.91,6.75
"ACSSF","ca","140","00","0005749",,,,,"06","037",,,"481901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481901","Census Tract 4819.01",,,"Census Tract 4819.01, Los Angeles County, California","06037481901","1833961","0",,,,,,,,5732,129,244,449,206,480,735,628,968,861,550,339,143,2.25,4.26,7.83,3.59,8.37,12.82,10.96,16.89,15.02,9.6,5.91,2.49
"ACSSF","ca","140","00","0005750",,,,,"06","037",,,"481902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037481902","Census Tract 4819.02",,,"Census Tract 4819.02, Los Angeles County, California","06037481902","886368","1730",,,,,,,,3274,220,225,147,51,355,657,358,328,370,296,145,122,6.72,6.87,4.49,1.56,10.84,20.07,10.93,10.02,11.3,9.04,4.43,3.73
"ACSSF","ca","140","00","0005751",,,,,"06","037",,,"482001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482001","Census Tract 4820.01",,,"Census Tract 4820.01, Los Angeles County, California","06037482001","2920360","24958",,,,,,,,2645,116,132,81,124,204,202,303,330,386,357,237,173,4.39,4.99,3.06,4.69,7.71,7.64,11.46,12.48,14.59,13.5,8.96,6.54
"ACSSF","ca","140","00","0005752",,,,,"06","037",,,"482002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482002","Census Tract 4820.02",,,"Census Tract 4820.02, Los Angeles County, California","06037482002","2488396","0",,,,,,,,7066,210,476,507,256,479,1065,707,962,831,778,603,192,2.97,6.74,7.18,3.62,6.78,15.07,10.01,13.61,11.76,11.01,8.53,2.72
"ACSSF","ca","140","00","0005753",,,,,"06","037",,,"482101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482101","Census Tract 4821.01",,,"Census Tract 4821.01, Los Angeles County, California","06037482101","1152249","0",,,,,,,,4507,224,197,233,152,223,655,583,679,609,425,361,166,4.97,4.37,5.17,3.37,4.95,14.53,12.94,15.07,13.51,9.43,8.01,3.68
"ACSSF","ca","140","00","0005754",,,,,"06","037",,,"482102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482102","Census Tract 4821.02",,,"Census Tract 4821.02, Los Angeles County, California","06037482102","1098019","0",,,,,,,,3070,166,212,113,28,157,294,446,309,455,512,286,92,5.41,6.91,3.68,0.91,5.11,9.58,14.53,10.07,14.82,16.68,9.32,3
"ACSSF","ca","140","00","0005755",,,,,"06","037",,,"482201",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482201","Census Tract 4822.01",,,"Census Tract 4822.01, Los Angeles County, California","06037482201","773295","0",,,,,,,,3786,240,138,118,48,391,776,380,317,600,314,305,159,6.34,3.65,3.12,1.27,10.33,20.5,10.04,8.37,15.85,8.29,8.06,4.2
"ACSSF","ca","140","00","0005756",,,,,"06","037",,,"482202",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482202","Census Tract 4822.02",,,"Census Tract 4822.02, Los Angeles County, California","06037482202","646868","0",,,,,,,,5209,196,306,241,224,355,808,662,579,798,583,317,140,3.76,5.87,4.63,4.3,6.82,15.51,12.71,11.12,15.32,11.19,6.09,2.69
"ACSSF","ca","140","00","0005757",,,,,"06","037",,,"482301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482301","Census Tract 4823.01",,,"Census Tract 4823.01, Los Angeles County, California","06037482301","873603","0",,,,,,,,5521,153,340,350,206,315,654,769,915,1009,496,172,142,2.77,6.16,6.34,3.73,5.71,11.85,13.93,16.57,18.28,8.98,3.12,2.57
"ACSSF","ca","140","00","0005758",,,,,"06","037",,,"482303",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482303","Census Tract 4823.03",,,"Census Tract 4823.03, Los Angeles County, California","06037482303","982791","0",,,,,,,,5170,339,317,233,183,317,914,738,662,579,608,204,76,6.56,6.13,4.51,3.54,6.13,17.68,14.27,12.8,11.2,11.76,3.95,1.47
"ACSSF","ca","140","00","0005759",,,,,"06","037",,,"482304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482304","Census Tract 4823.04",,,"Census Tract 4823.04, Los Angeles County, California","06037482304","619445","0",,,,,,,,2834,115,184,167,155,245,349,380,428,445,208,93,65,4.06,6.49,5.89,5.47,8.65,12.31,13.41,15.1,15.7,7.34,3.28,2.29
"ACSSF","ca","140","00","0005760",,,,,"06","037",,,"482401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482401","Census Tract 4824.01",,,"Census Tract 4824.01, Los Angeles County, California","06037482401","839066","0",,,,,,,,3338,224,106,144,122,287,389,550,405,514,397,147,53,6.71,3.18,4.31,3.65,8.6,11.65,16.48,12.13,15.4,11.89,4.4,1.59
"ACSSF","ca","140","00","0005761",,,,,"06","037",,,"482403",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482403","Census Tract 4824.03",,,"Census Tract 4824.03, Los Angeles County, California","06037482403","961740","0",,,,,,,,3374,236,49,237,117,324,507,249,521,638,236,74,186,6.99,1.45,7.02,3.47,9.6,15.03,7.38,15.44,18.91,6.99,2.19,5.51
"ACSSF","ca","140","00","0005762",,,,,"06","037",,,"482404",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482404","Census Tract 4824.04",,,"Census Tract 4824.04, Los Angeles County, California","06037482404","938964","0",,,,,,,,3170,13,20,145,291,207,201,232,301,870,532,228,130,0.41,0.63,4.57,9.18,6.53,6.34,7.32,9.5,27.44,16.78,7.19,4.1
"ACSSF","ca","140","00","0005763",,,,,"06","037",,,"482502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482502","Census Tract 4825.02",,,"Census Tract 4825.02, Los Angeles County, California","06037482502","640664","0",,,,,,,,3196,192,182,209,136,253,289,439,513,534,232,144,73,6.01,5.69,6.54,4.26,7.92,9.04,13.74,16.05,16.71,7.26,4.51,2.28
"ACSSF","ca","140","00","0005764",,,,,"06","037",,,"482503",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482503","Census Tract 4825.03",,,"Census Tract 4825.03, Los Angeles County, California","06037482503","729678","0",,,,,,,,4048,299,186,248,210,428,596,439,651,472,303,118,98,7.39,4.59,6.13,5.19,10.57,14.72,10.84,16.08,11.66,7.49,2.92,2.42
"ACSSF","ca","140","00","0005765",,,,,"06","037",,,"482521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482521","Census Tract 4825.21",,,"Census Tract 4825.21, Los Angeles County, California","06037482521","1545509","685",,,,,,,,5533,380,195,305,215,328,776,722,578,808,722,298,206,6.87,3.52,5.51,3.89,5.93,14.02,13.05,10.45,14.6,13.05,5.39,3.72
"ACSSF","ca","140","00","0005766",,,,,"06","037",,,"482522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482522","Census Tract 4825.22",,,"Census Tract 4825.22, Los Angeles County, California","06037482522","1641873","0",,,,,,,,4192,140,227,167,87,203,667,495,477,615,503,285,326,3.34,5.42,3.98,2.08,4.84,15.91,11.81,11.38,14.67,12,6.8,7.78
"ACSSF","ca","140","00","0005767",,,,,"06","037",,,"482600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482600","Census Tract 4826",,,"Census Tract 4826, Los Angeles County, California","06037482600","2714345","130227",,,,,,,,6857,159,347,357,261,749,949,429,975,1089,669,439,434,2.32,5.06,5.21,3.81,10.92,13.84,6.26,14.22,15.88,9.76,6.4,6.33
"ACSSF","ca","140","00","0005768",,,,,"06","037",,,"482701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482701","Census Tract 4827.01",,,"Census Tract 4827.01, Los Angeles County, California","06037482701","1229384","0",,,,,,,,4115,146,225,265,100,298,612,679,658,380,380,185,187,3.55,5.47,6.44,2.43,7.24,14.87,16.5,15.99,9.23,9.23,4.5,4.54
"ACSSF","ca","140","00","0005769",,,,,"06","037",,,"482702",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06037482702","Census Tract 4827.02",,,"Census Tract 4827.02, Los Angeles County, California","06037482702","718250","0",,,,,,,,2482,182,71,105,90,213,396,246,305,355,239,132,148,7.33,2.86,4.23,3.63,8.58,15.95,9.91,12.29,14.3,9.63,5.32,5.96
