Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037123510,14000US06037123510,Census Tract 1235.10,"Census Tract 1235.10, Los Angeles County, California",788309,10153,5079,288,316,86,115,5.67,10.89,6.22,1.69,2.26
06037123520,14000US06037123520,Census Tract 1235.20,"Census Tract 1235.20, Los Angeles County, California",502129,8707,2700,137,283,31,10,5.07,14.26,10.48,1.15,0.37
06037123601,14000US06037123601,Census Tract 1236.01,"Census Tract 1236.01, Los Angeles County, California",1504226,28231,4811,336,393,220,167,6.98,11.45,8.17,4.57,3.47
06037123602,14000US06037123602,Census Tract 1236.02,"Census Tract 1236.02, Los Angeles County, California",927752,0,3412,130,507,85,98,3.81,10.96,14.86,2.49,2.87
06037123700,14000US06037123700,Census Tract 1237,"Census Tract 1237, Los Angeles County, California",952358,0,4474,163,282,281,90,3.64,11.22,6.3,6.28,2.01
06037123800,14000US06037123800,Census Tract 1238,"Census Tract 1238, Los Angeles County, California",1290035,0,5753,293,527,256,91,5.09,16.93,9.16,4.45,1.58
06037123901,14000US06037123901,Census Tract 1239.01,"Census Tract 1239.01, Los Angeles County, California",1291196,0,4158,271,324,98,76,6.52,11.57,7.79,2.36,1.83
06037123902,14000US06037123902,Census Tract 1239.02,"Census Tract 1239.02, Los Angeles County, California",664411,0,2791,122,117,72,36,4.37,9.71,4.19,2.58,1.29
06037124000,14000US06037124000,Census Tract 1240,"Census Tract 1240, Los Angeles County, California",1333419,16656,4836,173,479,315,225,3.58,8.83,9.9,6.51,4.65
06037124102,14000US06037124102,Census Tract 1241.02,"Census Tract 1241.02, Los Angeles County, California",649213,0,3597,112,243,63,29,3.11,5.64,6.76,1.75,0.81
06037124103,14000US06037124103,Census Tract 1241.03,"Census Tract 1241.03, Los Angeles County, California",323950,0,1956,113,114,71,21,5.78,12.53,5.83,3.63,1.07
06037124104,14000US06037124104,Census Tract 1241.04,"Census Tract 1241.04, Los Angeles County, California",324444,0,2596,86,167,40,110,3.31,11.71,6.43,1.54,4.24
06037124105,14000US06037124105,Census Tract 1241.05,"Census Tract 1241.05, Los Angeles County, California",324541,0,2428,220,108,47,0,9.06,9.31,4.45,1.94,0
06037124201,14000US06037124201,Census Tract 1242.01,"Census Tract 1242.01, Los Angeles County, California",972597,0,3496,192,138,150,64,5.49,15.68,3.95,4.29,1.83
06037124203,14000US06037124203,Census Tract 1242.03,"Census Tract 1242.03, Los Angeles County, California",324254,0,2069,78,182,63,31,3.77,12.52,8.8,3.04,1.5
06037124204,14000US06037124204,Census Tract 1242.04,"Census Tract 1242.04, Los Angeles County, California",324351,0,2104,122,101,78,0,5.8,16.92,4.8,3.71,0
06037124300,14000US06037124300,Census Tract 1243,"Census Tract 1243, Los Angeles County, California",890999,0,2894,115,288,108,77,3.97,9.68,9.95,3.73,2.66
06037124400,14000US06037124400,Census Tract 1244,"Census Tract 1244, Los Angeles County, California",961443,14163,4695,385,301,156,114,8.2,16.19,6.41,3.32,2.43
06037124500,14000US06037124500,Census Tract 1245,"Census Tract 1245, Los Angeles County, California",807913,0,2813,83,419,48,89,2.95,12.48,14.9,1.71,3.16
06037124600,14000US06037124600,Census Tract 1246,"Census Tract 1246, Los Angeles County, California",1120028,0,2718,58,417,88,43,2.13,15.64,15.34,3.24,1.58
06037124700,14000US06037124700,Census Tract 1247,"Census Tract 1247, Los Angeles County, California",1347617,14339,5323,259,459,232,77,4.87,12.06,8.62,4.36,1.45
06037124902,14000US06037124902,Census Tract 1249.02,"Census Tract 1249.02, Los Angeles County, California",338583,0,3294,206,201,175,54,6.25,9.71,6.1,5.31,1.64
06037124903,14000US06037124903,Census Tract 1249.03,"Census Tract 1249.03, Los Angeles County, California",311405,0,3979,224,330,107,75,5.63,8.37,8.29,2.69,1.88
06037125101,14000US06037125101,Census Tract 1251.01,"Census Tract 1251.01, Los Angeles County, California",649784,0,3819,25,236,110,16,0.65,12.2,6.18,2.88,0.42
06037125102,14000US06037125102,Census Tract 1251.02,"Census Tract 1251.02, Los Angeles County, California",648895,0,1838,228,236,52,73,12.4,16.21,12.84,2.83,3.97
06037125200,14000US06037125200,Census Tract 1252,"Census Tract 1252, Los Angeles County, California",1303250,498,3757,144,240,34,34,3.83,8.04,6.39,0.9,0.9
06037125310,14000US06037125310,Census Tract 1253.10,"Census Tract 1253.10, Los Angeles County, California",1053984,0,3525,200,272,91,28,5.67,15.21,7.72,2.58,0.79
06037125321,14000US06037125321,Census Tract 1253.21,"Census Tract 1253.21, Los Angeles County, California",259269,0,2718,0,261,101,0,0,10.23,9.6,3.72,0
06037125322,14000US06037125322,Census Tract 1253.22,"Census Tract 1253.22, Los Angeles County, California",373214,0,1979,0,140,246,65,0,6.32,7.07,12.43,3.28
06037125402,14000US06037125402,Census Tract 1254.02,"Census Tract 1254.02, Los Angeles County, California",732971,0,4520,188,153,66,29,4.16,12.96,3.38,1.46,0.64
06037125403,14000US06037125403,Census Tract 1254.03,"Census Tract 1254.03, Los Angeles County, California",168331,0,2344,20,0,67,76,0.85,4.22,0,2.86,3.24
06037125404,14000US06037125404,Census Tract 1254.04,"Census Tract 1254.04, Los Angeles County, California",229451,0,2696,0,15,35,1,0,4.12,0.56,1.3,0.04
06037125501,14000US06037125501,Census Tract 1255.01,"Census Tract 1255.01, Los Angeles County, California",464095,0,2945,192,80,102,95,6.52,9.92,2.72,3.46,3.23
06037125502,14000US06037125502,Census Tract 1255.02,"Census Tract 1255.02, Los Angeles County, California",522914,0,3817,131,422,123,75,3.43,9.8,11.06,3.22,1.96
06037125600,14000US06037125600,Census Tract 1256,"Census Tract 1256, Los Angeles County, California",1022291,0,2983,235,211,234,59,7.88,13.11,7.07,7.84,1.98
06037127102,14000US06037127102,Census Tract 1271.02,"Census Tract 1271.02, Los Angeles County, California",859268,0,5166,380,167,98,85,7.36,9.58,3.23,1.9,1.65
06037127103,14000US06037127103,Census Tract 1271.03,"Census Tract 1271.03, Los Angeles County, California",280065,5980,3103,176,180,25,78,5.67,11.89,5.8,0.81,2.51
06037127104,14000US06037127104,Census Tract 1271.04,"Census Tract 1271.04, Los Angeles County, California",707802,0,3955,253,261,31,45,6.4,16.43,6.6,0.78,1.14
06037127210,14000US06037127210,Census Tract 1272.10,"Census Tract 1272.10, Los Angeles County, California",1539733,1672,5680,399,341,117,115,7.02,9.93,6,2.06,2.02
06037127220,14000US06037127220,Census Tract 1272.20,"Census Tract 1272.20, Los Angeles County, California",652930,0,5326,243,459,128,52,4.56,7.13,8.62,2.4,0.98
06037127300,14000US06037127300,Census Tract 1273,"Census Tract 1273, Los Angeles County, California",1059246,0,3732,229,320,75,56,6.14,14.04,8.57,2.01,1.5
06037127400,14000US06037127400,Census Tract 1274,"Census Tract 1274, Los Angeles County, California",2157565,24074,6291,590,286,76,28,9.38,12.06,4.55,1.21,0.45
06037127520,14000US06037127520,Census Tract 1275.20,"Census Tract 1275.20, Los Angeles County, California",363717,0,4881,247,268,122,0,5.06,7.97,5.49,2.5,0
06037127603,14000US06037127603,Census Tract 1276.03,"Census Tract 1276.03, Los Angeles County, California",431404,0,2757,258,92,22,14,9.36,7.04,3.34,0.8,0.51
06037127604,14000US06037127604,Census Tract 1276.04,"Census Tract 1276.04, Los Angeles County, California",434538,0,3288,184,255,161,90,5.6,5.23,7.76,4.9,2.74
06037127605,14000US06037127605,Census Tract 1276.05,"Census Tract 1276.05, Los Angeles County, California",644921,3699,3827,232,98,68,0,6.06,11.97,2.56,1.78,0
06037127606,14000US06037127606,Census Tract 1276.06,"Census Tract 1276.06, Los Angeles County, California",543715,0,3179,212,235,14,101,6.67,17.99,7.39,0.44,3.18
06037127711,14000US06037127711,Census Tract 1277.11,"Census Tract 1277.11, Los Angeles County, California",947651,0,3107,141,254,113,93,4.54,12.49,8.18,3.64,2.99
06037127712,14000US06037127712,Census Tract 1277.12,"Census Tract 1277.12, Los Angeles County, California",570010,0,3752,197,205,49,15,5.25,13.43,5.46,1.31,0.4
