Census_Tract_ID,Geographic Identifier,Area Name,Qualifying Name,Area (Land),Area (Water),Total Population:,Total Population: Under 5 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,% Total Population: Under 5 Years,% Total Population: 55 to 64 Years,% Total Population: 65 to 74 Years,% Total Population: 75 to 84 Years,% Total Population: 85 Years and Over
CT_ID_TXT,Geo_GEOID,Geo_NAME,Geo_QName,Geo_AREALAND,Geo_AREAWATR,SE_A01001_001,SE_A01001_002,SE_A01001_011,SE_A01001_012,SE_A01001_013,PCT_SE_A01001_002,PCT_SE_A01001_010,PCT_SE_A01001_011,PCT_SE_A01001_012,PCT_SE_A01001_013
06037432700,14000US06037432700,Census Tract 4327,"Census Tract 4327, Los Angeles County, California",1825589,33529,5620,369,459,139,68,6.57,7.35,8.17,2.47,1.21
06037432801,14000US06037432801,Census Tract 4328.01,"Census Tract 4328.01, Los Angeles County, California",791496,23559,2501,159,348,241,209,6.36,10.64,13.91,9.64,8.36
06037432802,14000US06037432802,Census Tract 4328.02,"Census Tract 4328.02, Los Angeles County, California",592727,0,5337,443,247,188,42,8.3,9.65,4.63,3.52,0.79
06037432901,14000US06037432901,Census Tract 4329.01,"Census Tract 4329.01, Los Angeles County, California",1134679,0,4044,163,248,135,37,4.03,18.18,6.13,3.34,0.91
06037432902,14000US06037432902,Census Tract 4329.02,"Census Tract 4329.02, Los Angeles County, California",1088322,0,3100,111,457,183,89,3.58,13.71,14.74,5.9,2.87
06037433103,14000US06037433103,Census Tract 4331.03,"Census Tract 4331.03, Los Angeles County, California",2025695,57077,6836,267,624,302,111,3.91,13.25,9.13,4.42,1.62
06037433200,14000US06037433200,Census Tract 4332,"Census Tract 4332, Los Angeles County, California",1787366,0,5837,264,538,285,146,4.52,12.59,9.22,4.88,2.5
06037433302,14000US06037433302,Census Tract 4333.02,"Census Tract 4333.02, Los Angeles County, California",854241,0,1590,96,53,57,42,6.04,16.98,3.33,3.58,2.64
06037433304,14000US06037433304,Census Tract 4333.04,"Census Tract 4333.04, Los Angeles County, California",789658,0,4237,200,260,128,70,4.72,9.94,6.14,3.02,1.65
06037433305,14000US06037433305,Census Tract 4333.05,"Census Tract 4333.05, Los Angeles County, California",511912,0,4990,322,372,149,156,6.45,10.18,7.45,2.99,3.13
06037433306,14000US06037433306,Census Tract 4333.06,"Census Tract 4333.06, Los Angeles County, California",434314,0,3222,44,287,127,104,1.37,14.84,8.91,3.94,3.23
06037433307,14000US06037433307,Census Tract 4333.07,"Census Tract 4333.07, Los Angeles County, California",421859,0,2743,140,220,121,19,5.1,7.73,8.02,4.41,0.69
06037433402,14000US06037433402,Census Tract 4334.02,"Census Tract 4334.02, Los Angeles County, California",557892,0,4894,221,337,60,15,4.52,10.42,6.89,1.23,0.31
06037433403,14000US06037433403,Census Tract 4334.03,"Census Tract 4334.03, Los Angeles County, California",706777,0,4920,408,269,79,8,8.29,6.99,5.47,1.61,0.16
06037433505,14000US06037433505,Census Tract 4335.05,"Census Tract 4335.05, Los Angeles County, California",765197,0,4618,264,301,168,25,5.72,14.05,6.52,3.64,0.54
06037433506,14000US06037433506,Census Tract 4335.06,"Census Tract 4335.06, Los Angeles County, California",1622353,14107,3989,258,318,67,50,6.47,10.73,7.97,1.68,1.25
06037433601,14000US06037433601,Census Tract 4336.01,"Census Tract 4336.01, Los Angeles County, California",1125458,0,5477,405,577,245,199,7.39,13.88,10.53,4.47,3.63
06037433602,14000US06037433602,Census Tract 4336.02,"Census Tract 4336.02, Los Angeles County, California",967425,34341,2843,144,300,167,95,5.07,11.78,10.55,5.87,3.34
06037433803,14000US06037433803,Census Tract 4338.03,"Census Tract 4338.03, Los Angeles County, California",1188826,0,3218,260,254,272,75,8.08,16.5,7.89,8.45,2.33
06037433804,14000US06037433804,Census Tract 4338.04,"Census Tract 4338.04, Los Angeles County, California",1513194,0,4673,538,218,160,52,11.51,10.53,4.67,3.42,1.11
06037433901,14000US06037433901,Census Tract 4339.01,"Census Tract 4339.01, Los Angeles County, California",720929,0,5625,361,161,165,76,6.42,12.07,2.86,2.93,1.35
06037433903,14000US06037433903,Census Tract 4339.03,"Census Tract 4339.03, Los Angeles County, California",909752,0,5305,597,267,89,125,11.25,12.08,5.03,1.68,2.36
06037434001,14000US06037434001,Census Tract 4340.01,"Census Tract 4340.01, Los Angeles County, California",1073132,0,4315,343,211,121,48,7.95,10.94,4.89,2.8,1.11
06037434003,14000US06037434003,Census Tract 4340.03,"Census Tract 4340.03, Los Angeles County, California",963510,0,4015,166,286,148,59,4.13,12.38,7.12,3.69,1.47
06037434004,14000US06037434004,Census Tract 4340.04,"Census Tract 4340.04, Los Angeles County, California",684403,0,3050,291,350,111,206,9.54,10.89,11.48,3.64,6.75
06037434100,14000US06037434100,Census Tract 4341,"Census Tract 4341, Los Angeles County, California",2493682,0,6235,290,508,216,148,4.65,13.78,8.15,3.46,2.37
06037460001,14000US06037460001,Census Tract 4600.01,"Census Tract 4600.01, Los Angeles County, California",5192022,6765,1843,118,252,75,56,6.4,16.66,13.67,4.07,3.04
06037460002,14000US06037460002,Census Tract 4600.02,"Census Tract 4600.02, Los Angeles County, California",1566411,2157,2789,143,444,143,98,5.13,18.57,15.92,5.13,3.51
06037460101,14000US06037460101,Census Tract 4601.01,"Census Tract 4601.01, Los Angeles County, California",5682185,16289,5817,166,766,496,188,2.85,24.91,13.17,8.53,3.23
06037460200,14000US06037460200,Census Tract 4602,"Census Tract 4602, Los Angeles County, California",3186616,1899,5763,403,317,639,112,6.99,12.06,5.5,11.09,1.94
06037460301,14000US06037460301,Census Tract 4603.01,"Census Tract 4603.01, Los Angeles County, California",4905569,13382,4581,249,438,168,122,5.44,16.94,9.56,3.67,2.66
06037460302,14000US06037460302,Census Tract 4603.02,"Census Tract 4603.02, Los Angeles County, California",1312594,0,4417,240,604,165,73,5.43,12.61,13.67,3.74,1.65
06037460401,14000US06037460401,Census Tract 4604.01,"Census Tract 4604.01, Los Angeles County, California",5302088,66916,970,39,105,25,15,4.02,19.07,10.82,2.58,1.55
06037460501,14000US06037460501,Census Tract 4605.01,"Census Tract 4605.01, Los Angeles County, California",7444788,23487,5345,233,540,429,84,4.36,18.45,10.1,8.03,1.57
06037460502,14000US06037460502,Census Tract 4605.02,"Census Tract 4605.02, Los Angeles County, California",2614173,0,4753,342,386,178,82,7.2,14.64,8.12,3.75,1.73
06037460601,14000US06037460601,Census Tract 4606.01,"Census Tract 4606.01, Los Angeles County, California",4853418,11549,5339,308,668,213,130,5.77,15.15,12.51,3.99,2.43
06037460700,14000US06037460700,Census Tract 4607,"Census Tract 4607, Los Angeles County, California",7436628,7462,5176,210,525,295,178,4.06,11.92,10.14,5.7,3.44
06037460800,14000US06037460800,Census Tract 4608,"Census Tract 4608, Los Angeles County, California",6696659,47178,2850,102,393,248,204,3.58,11.79,13.79,8.7,7.16
06037460900,14000US06037460900,Census Tract 4609,"Census Tract 4609, Los Angeles County, California",2435554,20361,6734,647,392,305,114,9.61,13.77,5.82,4.53,1.69
06037461000,14000US06037461000,Census Tract 4610,"Census Tract 4610, Los Angeles County, California",1768267,188,6118,265,598,229,87,4.33,10.04,9.77,3.74,1.42
06037461100,14000US06037461100,Census Tract 4611,"Census Tract 4611, Los Angeles County, California",1949762,8976,5012,295,574,288,180,5.89,11.05,11.45,5.75,3.59
06037461200,14000US06037461200,Census Tract 4612,"Census Tract 4612, Los Angeles County, California",2455789,0,4593,205,551,325,158,4.46,20.92,12,7.08,3.44
06037461300,14000US06037461300,Census Tract 4613,"Census Tract 4613, Los Angeles County, California",1948639,1061,6506,534,757,341,234,8.21,12.25,11.64,5.24,3.6
06037461400,14000US06037461400,Census Tract 4614,"Census Tract 4614, Los Angeles County, California",1016754,0,3028,174,244,96,120,5.75,11.82,8.06,3.17,3.96
06037461501,14000US06037461501,Census Tract 4615.01,"Census Tract 4615.01, Los Angeles County, California",1004066,0,3693,269,412,201,28,7.28,10.26,11.16,5.44,0.76
06037461502,14000US06037461502,Census Tract 4615.02,"Census Tract 4615.02, Los Angeles County, California",1172567,0,6355,324,574,420,322,5.1,12.49,9.03,6.61,5.07
06037461600,14000US06037461600,Census Tract 4616,"Census Tract 4616, Los Angeles County, California",1661582,0,5870,192,382,164,92,3.27,10.24,6.51,2.79,1.57
06037461700,14000US06037461700,Census Tract 4617,"Census Tract 4617, Los Angeles County, California",2184325,23766,1369,93,344,85,35,6.79,17.09,25.13,6.21,2.56
06037461901,14000US06037461901,Census Tract 4619.01,"Census Tract 4619.01, Los Angeles County, California",878770,0,4950,241,303,155,0,4.87,8.32,6.12,3.13,0
06037461902,14000US06037461902,Census Tract 4619.02,"Census Tract 4619.02, Los Angeles County, California",835329,0,1919,24,195,110,36,1.25,12.71,10.16,5.73,1.88
06037462001,14000US06037462001,Census Tract 4620.01,"Census Tract 4620.01, Los Angeles County, California",511707,0,4773,438,274,61,14,9.18,15.15,5.74,1.28,0.29
06037462002,14000US06037462002,Census Tract 4620.02,"Census Tract 4620.02, Los Angeles County, California",511535,0,3646,188,223,185,36,5.16,9.46,6.12,5.07,0.99
06037462100,14000US06037462100,Census Tract 4621,"Census Tract 4621, Los Angeles County, California",1043919,0,5471,262,399,167,85,4.79,9.18,7.29,3.05,1.55
06037462201,14000US06037462201,Census Tract 4622.01,"Census Tract 4622.01, Los Angeles County, California",536844,0,3701,230,241,215,390,6.21,7.89,6.51,5.81,10.54
06037462202,14000US06037462202,Census Tract 4622.02,"Census Tract 4622.02, Los Angeles County, California",568258,0,2873,161,161,61,32,5.6,10.89,5.6,2.12,1.11
06037462301,14000US06037462301,Census Tract 4623.01,"Census Tract 4623.01, Los Angeles County, California",632477,0,4780,220,217,79,93,4.6,8.62,4.54,1.65,1.95
06037462302,14000US06037462302,Census Tract 4623.02,"Census Tract 4623.02, Los Angeles County, California",700968,0,3157,126,173,156,64,3.99,8.93,5.48,4.94,2.03
06037462400,14000US06037462400,Census Tract 4624,"Census Tract 4624, Los Angeles County, California",1305487,10596,3709,220,441,142,60,5.93,17.23,11.89,3.83,1.62
06037462500,14000US06037462500,Census Tract 4625,"Census Tract 4625, Los Angeles County, California",2422830,144779,6559,278,599,427,67,4.24,17.26,9.13,6.51,1.02
06037462600,14000US06037462600,Census Tract 4626,"Census Tract 4626, Los Angeles County, California",1048627,0,2317,109,243,174,64,4.7,12.99,10.49,7.51,2.76
06037462700,14000US06037462700,Census Tract 4627,"Census Tract 4627, Los Angeles County, California",1675551,0,5408,360,638,79,41,6.66,9.71,11.8,1.46,0.76
06037462800,14000US06037462800,Census Tract 4628,"Census Tract 4628, Los Angeles County, California",1126292,1079,2739,291,279,37,28,10.62,6.54,10.19,1.35,1.02
06037462900,14000US06037462900,Census Tract 4629,"Census Tract 4629, Los Angeles County, California",2344777,0,3681,292,268,304,293,7.93,12.47,7.28,8.26,7.96
06037463000,14000US06037463000,Census Tract 4630,"Census Tract 4630, Los Angeles County, California",1816831,0,2873,240,172,164,73,8.35,9.82,5.99,5.71,2.54
06037463103,14000US06037463103,Census Tract 4631.03,"Census Tract 4631.03, Los Angeles County, California",3661950,13187,5913,405,625,356,138,6.85,9.61,10.57,6.02,2.33
06037463200,14000US06037463200,Census Tract 4632,"Census Tract 4632, Los Angeles County, California",1628599,0,3481,150,377,306,135,4.31,11.84,10.83,8.79,3.88
06037463300,14000US06037463300,Census Tract 4633,"Census Tract 4633, Los Angeles County, California",659665,0,1937,100,218,81,36,5.16,21.06,11.25,4.18,1.86
06037463400,14000US06037463400,Census Tract 4634,"Census Tract 4634, Los Angeles County, California",1926653,3397,5710,311,524,222,41,5.45,8.69,9.18,3.89,0.72
06037463500,14000US06037463500,Census Tract 4635,"Census Tract 4635, Los Angeles County, California",1681987,0,5728,492,367,172,70,8.59,5.5,6.41,3,1.22
06037463601,14000US06037463601,Census Tract 4636.01,"Census Tract 4636.01, Los Angeles County, California",928141,0,5907,341,369,282,249,5.77,8.02,6.25,4.77,4.22
06037463602,14000US06037463602,Census Tract 4636.02,"Census Tract 4636.02, Los Angeles County, California",927598,0,5818,352,315,381,66,6.05,7.89,5.41,6.55,1.13
06037463700,14000US06037463700,Census Tract 4637,"Census Tract 4637, Los Angeles County, California",1725311,10596,3250,101,349,245,148,3.11,14.25,10.74,7.54,4.55
06037463800,14000US06037463800,Census Tract 4638,"Census Tract 4638, Los Angeles County, California",2843041,24382,4191,400,515,227,63,9.54,11.57,12.29,5.42,1.5
06037463900,14000US06037463900,Census Tract 4639,"Census Tract 4639, Los Angeles County, California",1873331,8647,3166,160,544,355,218,5.05,17.56,17.18,11.21,6.89
06037464000,14000US06037464000,Census Tract 4640,"Census Tract 4640, Los Angeles County, California",3144310,1838,5547,310,461,282,246,5.59,13.97,8.31,5.08,4.43
06037464101,14000US06037464101,Census Tract 4641.01,"Census Tract 4641.01, Los Angeles County, California",3176977,2087,2179,118,354,175,91,5.42,21.84,16.25,8.03,4.18
06037464102,14000US06037464102,Census Tract 4641.02,"Census Tract 4641.02, Los Angeles County, California",3083104,2728,4577,301,485,122,137,6.58,13.87,10.6,2.67,2.99
06037464200,14000US06037464200,Census Tract 4642,"Census Tract 4642, Los Angeles County, California",3448978,11524,5864,263,761,327,120,4.48,13.54,12.98,5.58,2.05
06037480002,14000US06037480002,Census Tract 4800.02,"Census Tract 4800.02, Los Angeles County, California",1403749,0,3977,171,318,341,227,4.3,21.25,8,8.57,5.71
06037480011,14000US06037480011,Census Tract 4800.11,"Census Tract 4800.11, Los Angeles County, California",1091246,35252,5218,460,429,158,64,8.82,10.37,8.22,3.03,1.23
06037480012,14000US06037480012,Census Tract 4800.12,"Census Tract 4800.12, Los Angeles County, California",1282871,0,4813,190,585,197,185,3.95,11.88,12.15,4.09,3.84
06037480101,14000US06037480101,Census Tract 4801.01,"Census Tract 4801.01, Los Angeles County, California",1136820,0,4116,445,518,216,129,10.81,14.72,12.59,5.25,3.13
06037480102,14000US06037480102,Census Tract 4801.02,"Census Tract 4801.02, Los Angeles County, California",1228398,0,4388,226,458,241,75,5.15,16.13,10.44,5.49,1.71
06037480201,14000US06037480201,Census Tract 4802.01,"Census Tract 4802.01, Los Angeles County, California",1531132,1750,3479,184,391,138,129,5.29,19.52,11.24,3.97,3.71
06037480202,14000US06037480202,Census Tract 4802.02,"Census Tract 4802.02, Los Angeles County, California",1515054,0,2595,124,323,271,74,4.78,13.95,12.45,10.44,2.85
06037480302,14000US06037480302,Census Tract 4803.02,"Census Tract 4803.02, Los Angeles County, California",1050464,0,4262,339,386,278,176,7.95,9.71,9.06,6.52,4.13
06037480303,14000US06037480303,Census Tract 4803.03,"Census Tract 4803.03, Los Angeles County, California",451631,0,4416,292,352,128,31,6.61,10.96,7.97,2.9,0.7
06037480304,14000US06037480304,Census Tract 4803.04,"Census Tract 4803.04, Los Angeles County, California",436639,0,4491,132,413,175,122,2.94,13.83,9.2,3.9,2.72
06037480400,14000US06037480400,Census Tract 4804,"Census Tract 4804, Los Angeles County, California",1285545,0,5650,266,592,439,225,4.71,14.48,10.48,7.77,3.98
06037480500,14000US06037480500,Census Tract 4805,"Census Tract 4805, Los Angeles County, California",2111457,0,5263,142,526,251,93,2.7,17.08,9.99,4.77,1.77
06037480601,14000US06037480601,Census Tract 4806.01,"Census Tract 4806.01, Los Angeles County, California",706578,0,4070,228,228,18,30,5.6,4.64,5.6,0.44,0.74
06037480602,14000US06037480602,Census Tract 4806.02,"Census Tract 4806.02, Los Angeles County, California",1631417,24599,4190,309,245,71,152,7.37,16.37,5.85,1.69,3.63
06037480702,14000US06037480702,Census Tract 4807.02,"Census Tract 4807.02, Los Angeles County, California",2175988,0,4659,346,488,291,115,7.43,11.87,10.47,6.25,2.47
06037480703,14000US06037480703,Census Tract 4807.03,"Census Tract 4807.03, Los Angeles County, California",1134055,1122,4265,222,293,128,26,5.21,10.69,6.87,3,0.61
06037480704,14000US06037480704,Census Tract 4807.04,"Census Tract 4807.04, Los Angeles County, California",1069409,0,4390,185,272,198,20,4.21,9.25,6.2,4.51,0.46
06037480802,14000US06037480802,Census Tract 4808.02,"Census Tract 4808.02, Los Angeles County, California",1720775,0,3247,121,428,155,140,3.73,16.97,13.18,4.77,4.31
06037480803,14000US06037480803,Census Tract 4808.03,"Census Tract 4808.03, Los Angeles County, California",1091613,0,3276,171,384,153,56,5.22,19.05,11.72,4.67,1.71
06037480804,14000US06037480804,Census Tract 4808.04,"Census Tract 4808.04, Los Angeles County, California",838408,0,5151,376,468,200,96,7.3,13.71,9.09,3.88,1.86
06037480901,14000US06037480901,Census Tract 4809.01,"Census Tract 4809.01, Los Angeles County, California",951406,0,4690,203,444,242,103,4.33,11.09,9.47,5.16,2.2
06037480902,14000US06037480902,Census Tract 4809.02,"Census Tract 4809.02, Los Angeles County, California",513493,0,4527,204,198,212,42,4.51,10.58,4.37,4.68,0.93
06037480903,14000US06037480903,Census Tract 4809.03,"Census Tract 4809.03, Los Angeles County, California",803827,0,2966,258,297,123,107,8.7,15.85,10.01,4.15,3.61
06037481001,14000US06037481001,Census Tract 4810.01,"Census Tract 4810.01, Los Angeles County, California",1049648,0,4695,144,831,231,355,3.07,9.97,17.7,4.92,7.56
06037481002,14000US06037481002,Census Tract 4810.02,"Census Tract 4810.02, Los Angeles County, California",934855,0,5318,338,451,264,157,6.36,12.81,8.48,4.96,2.95
06037481101,14000US06037481101,Census Tract 4811.01,"Census Tract 4811.01, Los Angeles County, California",889216,0,4110,204,323,217,260,4.96,12.19,7.86,5.28,6.33
06037481102,14000US06037481102,Census Tract 4811.02,"Census Tract 4811.02, Los Angeles County, California",615716,0,3863,276,222,134,113,7.14,11.93,5.75,3.47,2.93
06037481103,14000US06037481103,Census Tract 4811.03,"Census Tract 4811.03, Los Angeles County, California",1413607,0,5219,286,455,155,306,5.48,13.99,8.72,2.97,5.86
06037481201,14000US06037481201,Census Tract 4812.01,"Census Tract 4812.01, Los Angeles County, California",1032505,0,4238,135,475,104,19,3.19,9.96,11.21,2.45,0.45
06037481203,14000US06037481203,Census Tract 4812.03,"Census Tract 4812.03, Los Angeles County, California",1559436,0,6216,516,690,295,127,8.3,12.71,11.1,4.75,2.04
06037481300,14000US06037481300,Census Tract 4813,"Census Tract 4813, Los Angeles County, California",896760,0,3353,154,328,146,176,4.59,15.12,9.78,4.35,5.25
06037481401,14000US06037481401,Census Tract 4814.01,"Census Tract 4814.01, Los Angeles County, California",1206575,0,5314,219,491,184,111,4.12,16.9,9.24,3.46,2.09
06037481403,14000US06037481403,Census Tract 4814.03,"Census Tract 4814.03, Los Angeles County, California",810392,0,3337,231,269,153,28,6.92,19.9,8.06,4.58,0.84
06037481404,14000US06037481404,Census Tract 4814.04,"Census Tract 4814.04, Los Angeles County, California",1024278,0,3874,161,405,313,112,4.16,15.69,10.45,8.08,2.89
06037481500,14000US06037481500,Census Tract 4815,"Census Tract 4815, Los Angeles County, California",2188073,0,4108,108,614,397,182,2.63,11.71,14.95,9.66,4.43
06037481603,14000US06037481603,Census Tract 4816.03,"Census Tract 4816.03, Los Angeles County, California",655706,0,3205,275,356,110,21,8.58,16.29,11.11,3.43,0.66
06037481604,14000US06037481604,Census Tract 4816.04,"Census Tract 4816.04, Los Angeles County, California",623010,0,3983,286,305,119,136,7.18,13.36,7.66,2.99,3.41
06037481605,14000US06037481605,Census Tract 4816.05,"Census Tract 4816.05, Los Angeles County, California",764937,0,2749,110,319,179,31,4,12.99,11.6,6.51,1.13
06037481606,14000US06037481606,Census Tract 4816.06,"Census Tract 4816.06, Los Angeles County, California",862066,0,4959,181,427,358,111,3.65,14.48,8.61,7.22,2.24
06037481711,14000US06037481711,Census Tract 4817.11,"Census Tract 4817.11, Los Angeles County, California",447340,0,4465,117,479,335,280,2.62,14.6,10.73,7.5,6.27
06037481712,14000US06037481712,Census Tract 4817.12,"Census Tract 4817.12, Los Angeles County, California",736600,0,5222,321,301,308,280,6.15,12.87,5.76,5.9,5.36
06037481713,14000US06037481713,Census Tract 4817.13,"Census Tract 4817.13, Los Angeles County, California",466197,0,2802,100,229,192,39,3.57,18.06,8.17,6.85,1.39
06037481714,14000US06037481714,Census Tract 4817.14,"Census Tract 4817.14, Los Angeles County, California",455081,0,2749,110,235,219,284,4,12.48,8.55,7.97,10.33
06037481800,14000US06037481800,Census Tract 4818,"Census Tract 4818, Los Angeles County, California",822038,0,2475,83,286,171,167,3.35,16.73,11.56,6.91,6.75
06037481901,14000US06037481901,Census Tract 4819.01,"Census Tract 4819.01, Los Angeles County, California",1833961,0,5732,129,550,339,143,2.25,15.02,9.6,5.91,2.49
06037481902,14000US06037481902,Census Tract 4819.02,"Census Tract 4819.02, Los Angeles County, California",886368,1730,3274,220,296,145,122,6.72,11.3,9.04,4.43,3.73
06037482001,14000US06037482001,Census Tract 4820.01,"Census Tract 4820.01, Los Angeles County, California",2920360,24958,2645,116,357,237,173,4.39,14.59,13.5,8.96,6.54
06037482002,14000US06037482002,Census Tract 4820.02,"Census Tract 4820.02, Los Angeles County, California",2488396,0,7066,210,778,603,192,2.97,11.76,11.01,8.53,2.72
06037482101,14000US06037482101,Census Tract 4821.01,"Census Tract 4821.01, Los Angeles County, California",1152249,0,4507,224,425,361,166,4.97,13.51,9.43,8.01,3.68
06037482102,14000US06037482102,Census Tract 4821.02,"Census Tract 4821.02, Los Angeles County, California",1098019,0,3070,166,512,286,92,5.41,14.82,16.68,9.32,3
06037482201,14000US06037482201,Census Tract 4822.01,"Census Tract 4822.01, Los Angeles County, California",773295,0,3786,240,314,305,159,6.34,15.85,8.29,8.06,4.2
06037482202,14000US06037482202,Census Tract 4822.02,"Census Tract 4822.02, Los Angeles County, California",646868,0,5209,196,583,317,140,3.76,15.32,11.19,6.09,2.69
06037482301,14000US06037482301,Census Tract 4823.01,"Census Tract 4823.01, Los Angeles County, California",873603,0,5521,153,496,172,142,2.77,18.28,8.98,3.12,2.57
06037482303,14000US06037482303,Census Tract 4823.03,"Census Tract 4823.03, Los Angeles County, California",982791,0,5170,339,608,204,76,6.56,11.2,11.76,3.95,1.47
06037482304,14000US06037482304,Census Tract 4823.04,"Census Tract 4823.04, Los Angeles County, California",619445,0,2834,115,208,93,65,4.06,15.7,7.34,3.28,2.29
06037482401,14000US06037482401,Census Tract 4824.01,"Census Tract 4824.01, Los Angeles County, California",839066,0,3338,224,397,147,53,6.71,15.4,11.89,4.4,1.59
06037482403,14000US06037482403,Census Tract 4824.03,"Census Tract 4824.03, Los Angeles County, California",961740,0,3374,236,236,74,186,6.99,18.91,6.99,2.19,5.51
06037482404,14000US06037482404,Census Tract 4824.04,"Census Tract 4824.04, Los Angeles County, California",938964,0,3170,13,532,228,130,0.41,27.44,16.78,7.19,4.1
06037482502,14000US06037482502,Census Tract 4825.02,"Census Tract 4825.02, Los Angeles County, California",640664,0,3196,192,232,144,73,6.01,16.71,7.26,4.51,2.28
06037482503,14000US06037482503,Census Tract 4825.03,"Census Tract 4825.03, Los Angeles County, California",729678,0,4048,299,303,118,98,7.39,11.66,7.49,2.92,2.42
06037482521,14000US06037482521,Census Tract 4825.21,"Census Tract 4825.21, Los Angeles County, California",1545509,685,5533,380,722,298,206,6.87,14.6,13.05,5.39,3.72
06037482522,14000US06037482522,Census Tract 4825.22,"Census Tract 4825.22, Los Angeles County, California",1641873,0,4192,140,503,285,326,3.34,14.67,12,6.8,7.78
06037482600,14000US06037482600,Census Tract 4826,"Census Tract 4826, Los Angeles County, California",2714345,130227,6857,159,669,439,434,2.32,15.88,9.76,6.4,6.33
06037482701,14000US06037482701,Census Tract 4827.01,"Census Tract 4827.01, Los Angeles County, California",1229384,0,4115,146,380,185,187,3.55,9.23,9.23,4.5,4.54
06037482702,14000US06037482702,Census Tract 4827.02,"Census Tract 4827.02, Los Angeles County, California",718250,0,2482,182,239,132,148,7.33,14.3,9.63,5.32,5.96
06037482801,14000US06037482801,Census Tract 4828.01,"Census Tract 4828.01, Los Angeles County, California",3165244,0,4141,200,418,281,163,4.83,13.72,10.09,6.79,3.94
06037500100,14000US06037500100,Census Tract 5001,"Census Tract 5001, Los Angeles County, California",10048680,3985,3747,148,432,240,159,3.95,14.6,11.53,6.41,4.24
06037500202,14000US06037500202,Census Tract 5002.02,"Census Tract 5002.02, Los Angeles County, California",6345541,11705,5058,246,579,349,183,4.86,13.66,11.45,6.9,3.62
06037500203,14000US06037500203,Census Tract 5002.03,"Census Tract 5002.03, Los Angeles County, California",1870108,0,4229,346,284,246,275,8.18,15.96,6.72,5.82,6.5
06037500204,14000US06037500204,Census Tract 5002.04,"Census Tract 5002.04, Los Angeles County, California",5316959,755,2287,79,477,111,38,3.45,13.07,20.86,4.85,1.66
06037500300,14000US06037500300,Census Tract 5003,"Census Tract 5003, Los Angeles County, California",8820301,137276,2818,86,600,177,36,3.05,16.64,21.29,6.28,1.28
06037500402,14000US06037500402,Census Tract 5004.02,"Census Tract 5004.02, Los Angeles County, California",1335853,0,5020,230,212,292,82,4.58,16.71,4.22,5.82,1.63
06037500403,14000US06037500403,Census Tract 5004.03,"Census Tract 5004.03, Los Angeles County, California",1999716,200985,3451,147,293,157,212,4.26,15.42,8.49,4.55,6.14
06037500404,14000US06037500404,Census Tract 5004.04,"Census Tract 5004.04, Los Angeles County, California",1172017,0,4091,154,551,306,53,3.76,16.04,13.47,7.48,1.3
06037500500,14000US06037500500,Census Tract 5005,"Census Tract 5005, Los Angeles County, California",645194,23163,2993,135,182,174,70,4.51,10.86,6.08,5.81,2.34
06037500600,14000US06037500600,Census Tract 5006,"Census Tract 5006, Los Angeles County, California",1180798,2321,5452,139,233,309,52,2.55,8.22,4.27,5.67,0.95
06037500700,14000US06037500700,Census Tract 5007,"Census Tract 5007, Los Angeles County, California",2595407,652906,7102,249,468,348,403,3.51,10.32,6.59,4.9,5.67
06037500800,14000US06037500800,Census Tract 5008,"Census Tract 5008, Los Angeles County, California",1825349,124267,5156,412,348,290,78,7.99,15.81,6.75,5.62,1.51
06037500900,14000US06037500900,Census Tract 5009,"Census Tract 5009, Los Angeles County, California",1473010,115356,5837,79,709,191,188,1.35,11.62,12.15,3.27,3.22
06037501001,14000US06037501001,Census Tract 5010.01,"Census Tract 5010.01, Los Angeles County, California",716469,0,3131,236,221,102,43,7.54,10.03,7.06,3.26,1.37
06037501002,14000US06037501002,Census Tract 5010.02,"Census Tract 5010.02, Los Angeles County, California",1473034,0,4710,147,294,195,67,3.12,15.65,6.24,4.14,1.42
06037501200,14000US06037501200,Census Tract 5012,"Census Tract 5012, Los Angeles County, California",1406046,0,5065,289,349,223,101,5.71,8.21,6.89,4.4,1.99
06037501301,14000US06037501301,Census Tract 5013.01,"Census Tract 5013.01, Los Angeles County, California",863521,690,3050,153,269,145,183,5.02,9.97,8.82,4.75,6
06037501302,14000US06037501302,Census Tract 5013.02,"Census Tract 5013.02, Los Angeles County, California",1143273,0,4378,220,558,72,81,5.03,12.4,12.75,1.64,1.85
06037501400,14000US06037501400,Census Tract 5014,"Census Tract 5014, Los Angeles County, California",1061249,0,3360,226,194,68,67,6.73,12.74,5.77,2.02,1.99
06037501501,14000US06037501501,Census Tract 5015.01,"Census Tract 5015.01, Los Angeles County, California",6330617,16327,2122,49,303,159,55,2.31,17.3,14.28,7.49,2.59
06037501503,14000US06037501503,Census Tract 5015.03,"Census Tract 5015.03, Los Angeles County, California",804801,0,5747,368,400,105,100,6.4,9.27,6.96,1.83,1.74
06037501504,14000US06037501504,Census Tract 5015.04,"Census Tract 5015.04, Los Angeles County, California",745545,0,3377,152,291,261,163,4.5,7.23,8.62,7.73,4.83
06037501600,14000US06037501600,Census Tract 5016,"Census Tract 5016, Los Angeles County, California",10301201,10502,7168,386,684,348,73,5.39,12.93,9.54,4.85,1.02
