date_time,stid,relative_humidity_high,air_temp_high,heat_index_high,relative_humidity_low,air_temp_low,heat_index_low,lon,lat,geometry
2020-07-11,KLAX,93.89,78.8,78.92458,41.78,62.6,62.970479999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-12,KLAX,93.94,80.96,82.28360527211623,49.18,66.2,66.6654,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-13,KLAX,93.94,78.8,78.92458,54.14,66.2,66.6654,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-14,KLAX,88.11,75.2,75.28606,56.95,64.04,64.07743,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-15,KLAX,83.62,71.96,71.73897999999998,59.39,62.6,62.43843999999999,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-16,KLAX,83.62,71.96,71.64732999999998,56.7,62.06,61.84444,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-17,KLAX,83.69,73.4,73.29525000000001,56.95,64.04,63.785560000000004,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-18,KLAX,88.11,71.6,71.49337999999999,60.51,62.06,62.02257,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-19,KLAX,93.8,71.6,71.30396999999999,60.51,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-20,KLAX,89.67,71.6,71.30396999999999,60.51,60.08,60.000609999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-21,KLAX,87.94,71.96,71.85271999999998,60.51,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-22,KLAX,93.75,69.8,69.50304,64.1,59.0,58.72895,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-23,KLAX,83.49,71.96,71.45415999999997,55.28,60.8,60.452799999999996,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-24,KLAX,87.94,73.4,73.11665,56.7,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-25,KLAX,87.94,71.6,71.49337999999999,60.51,60.8,60.452799999999996,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-26,KLAX,93.8,69.8,69.50304,64.32,60.08,59.92118,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-27,KLAX,93.8,68.0,67.71527,67.96,60.8,60.71318,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-28,KLAX,89.63,69.8,69.50304,64.32,60.08,60.000609999999995,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-29,KLAX,88.02,69.8,69.50304,64.32,62.06,61.89332,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-30,KLAX,100.0,71.6,71.30396999999999,60.51,57.2,57.023900000000005,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-07-31,KLAX,88.02,75.2,75.28606,53.36,62.06,62.02257,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-01,KLAX,88.11,80.6,81.12273420590465,44.89,62.06,61.89332,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-02,KLAX,100.0,77.0,77.27687,60.98,62.6,63.26,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-03,KLAX,93.89,73.4,73.68347000000001,68.53,64.4,64.95283,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-04,KLAX,88.2,73.94,73.948,62.0,64.4,64.68117000000001,-118.38889,33.93806,POINT (-118.38889 33.93806)
2020-08-05,KLAX,82.77,73.4,73.48372,60.75,64.4,64.18156,-118.38889,33.93806,POINT (-118.38889 33.93806)
